alcohol,malic_acid,ash,magnesium,phenols,proline,quality
14.23,1.71,2.43,127,2.8,1065,1
13.2,1.78,2.14,100,2.65,1050,1
13.16,2.36,2.67,101,2.8,1185,1
14.37,1.95,2.5,113,3.85,1480,1
13.24,2.59,2.87,118,2.8,735,1
14.2,1.76,2.45,112,3.27,1450,1
14.39,1.87,2.45,96,2.5,1290,1
14.06,2.15,2.61,121,2.6,1295,1
14.83,1.64,2.17,97,2.8,1045,1
13.86,1.35,2.27,98,2.98,1045,1
14.1,2.16,2.3,105,2.95,1510,1
14.12,1.48,2.32,95,2.2,1280,1
13.75,1.73,2.41,89,2.6,1320,1
14.75,1.73,2.39,91,3.1,1150,1
14.38,1.87,2.38,102,3.3,1547,1
13.63,1.81,2.7,112,2.85,1310,1
14.3,1.92,2.72,120,2.8,1280,1
13.83,1.57,2.62,115,2.95,1130,1
14.19,1.59,2.48,108,3.3,1680,1
13.64,3.1,2.56,116,2.7,845,1
14.06,1.63,2.28,126,3.0,780,1
12.93,3.8,2.65,102,2.41,770,1
13.71,1.86,2.36,101,2.61,1035,1
12.85,1.6,2.52,95,2.48,1015,1
13.5,1.81,2.61,96,2.53,845,1
13.05,2.05,3.22,124,2.63,830,1
13.39,1.77,2.62,93,2.85,1195,1
13.3,1.72,2.14,94,2.4,1285,1
13.87,1.9,2.8,107,2.95,915,1
14.02,1.68,2.21,96,2.65,1035,1
13.73,1.5,2.7,101,3.0,1285,1
13.58,1.66,2.36,106,2.86,1515,1
13.68,1.83,2.36,104,2.42,990,1
13.76,1.53,2.7,132,2.95,1235,1
13.51,1.8,2.65,110,2.35,1095,1
13.48,1.81,2.41,100,2.7,920,1
13.28,1.64,2.84,110,2.6,880,1
13.05,1.65,2.55,98,2.45,1105,1
13.07,1.5,2.1,98,2.4,1020,1
14.22,3.99,2.51,128,3.0,760,1
13.56,1.71,2.31,117,3.15,795,1
13.41,3.84,2.12,90,2.45,1035,1
13.88,1.89,2.59,101,3.25,1095,1
13.24,3.98,2.29,103,2.64,680,1
13.05,1.77,2.1,107,3.0,885,1
14.21,4.04,2.44,111,2.85,1080,1
14.38,3.59,2.28,102,3.25,1065,1
13.9,1.68,2.12,101,3.1,985,1
14.1,2.02,2.4,103,2.75,1060,1
13.94,1.73,2.27,108,2.88,1260,1
13.05,1.73,2.04,92,2.72,1150,1
13.83,1.65,2.6,94,2.45,1265,1
13.82,1.75,2.42,111,3.88,1190,1
13.77,1.9,2.68,115,3.0,1375,1
13.74,1.67,2.25,118,2.6,1060,1
13.56,1.73,2.46,116,2.96,1120,1
14.22,1.7,2.3,118,3.2,970,1
13.29,1.97,2.68,102,3.0,1270,1
13.72,1.43,2.5,108,3.4,1285,1
12.37,0.94,1.36,88,1.98,520,2
12.33,1.1,2.28,101,2.05,680,2
12.64,1.36,2.02,100,2.02,450,2
13.67,1.25,1.92,94,2.1,630,2
12.37,1.13,2.16,87,3.5,420,2
12.17,1.45,2.53,104,1.89,355,2
12.37,1.21,2.56,98,2.42,678,2
13.11,1.01,1.7,78,2.98,502,2
12.37,1.17,1.92,78,2.11,510,2
13.34,0.94,2.36,110,2.53,750,2
12.21,1.19,1.75,151,1.85,718,2
12.29,1.61,2.21,103,1.1,870,2
13.86,1.51,2.67,86,2.95,410,2
13.49,1.66,2.24,87,1.88,472,2
12.99,1.67,2.6,139,3.3,985,2
